artist_id,artist_name,popularity,followers,genres,photo
0T1CMVkqffHlqEk4BcAph1,Tulsi Kumar,71,3307796,"['desi pop', 'filmi', 'modern bollywood']",https://i.scdn.co/image/ab6761610000e5eb90499e6446916def99909236
0Tn7oEmE8zDUR340Doo9zl,Aamir Khan,38,15369,['classic bollywood'],https://i.scdn.co/image/ab6761610000e5eb1448b7cc1cc93e649b462722
0TnYVn2gCscbah7B833t5s,Kuwar Virk,47,507,[],https://i.scdn.co/image/ab67616d0000b273bfb6dc35137fbe0909ab93fc
0VY6hrDE8fYcFv956K8yIG,Suzi Q,41,175,[],https://i.scdn.co/image/ab67616d0000b273f4e660eb2b6fdb9b283c8ed5
0WUykTmuOcYbFgu3L6lO0L,Prashant Samaddar,27,10,[],[]
0XL6ie7a0NY5FM05b9Rn5L,Farhan Akhtar,57,1676823,"['desi pop', 'filmi', 'indian indie', 'modern bollywood']",https://i.scdn.co/image/ab6761610000e5ebad172e19a5e9c349122e1c18
0Xo2LczpLrxlnlq72iq2BA,Sanjivni,13,7,[],[]
0YUNlILtYJvTbactXKhFHc,Mohan Kannan,22,626,[],https://i.scdn.co/image/ab67616d0000b2737df57a66db0ffc775e9b28b4
0Yb0T3wUUNiIvHjqnfkbuH,Mahalakshmi Iyer,60,19290,"['filmi', 'modern bollywood']",https://i.scdn.co/image/ab6761610000e5eb917bf7b3a0d7e8621a0bbed0
0a63ibJwG5TRXeYuAIVZvz,Kids,35,1900,[],https://i.scdn.co/image/ab67616d0000b273c641ea35d76be901643dd93e
0a6rlKqFyJl2rBtU4UTpO7,Master Vignesh,26,64,[],[]
0ag6pPhqOZ6r0X130g5AJL,Sidd Coutto,23,269,[],https://i.scdn.co/image/ab67616d0000b2731c1ef1aac93c4da4dce67173
0bRPtPZQkWHeG7MGk9eWlh,Romy,56,15538,"['desi pop', 'modern bollywood']",https://i.scdn.co/image/ab6761610000e5eb2563909d8325b9b0ea081e02
0c5Ia4czywf47iK0si9bZQ,Sonali Bajpayee,7,61,[],[]
0cGHc87UV3xdjlFlS2xEeH,Sarwar Khan,27,122,[],https://i.scdn.co/image/ab67616d0000b2733420f5c80906760c08d08a1e
0cGUyn1Hk4stZda7WqMAbS,Madhuri Dixit,27,8949,[],https://i.scdn.co/image/ab6761610000e5eba335fc5a1f9dae0dcfcb372a
0cZUnZAl3WmjGJwEVcBqEH,Ajay,46,20679,['marathi pop'],https://i.scdn.co/image/ab67616d0000b2734ae03dc0e76b1e5defcc3d1a
0cczE6c7kfFCBQt96AV4Nt,Alamgir Khan,27,3217,[],https://i.scdn.co/image/ab67616d0000b2736cb9c7d0b8828598d307f2c1
0dmNwC3rvkNWXtljBChgpy,Roshan Thakar,1,0,[],[]
0e7Xsukwik0zDaqCcSvJTg,Prasoon Joshi,57,360,[],https://i.scdn.co/image/ab67616d0000b273834d797725832f5b35cbf8e8
0hlp615DvIIy7XvUpbmuMi,Shaurin Bhatt,2,33,[],https://i.scdn.co/image/ab67616d0000b2735663e9409208984383bd481d
0htEfVFpcont32VEscgt3J,Shanu Malik,4,9,[],[]
0kJO65h553i1iGsZutBuqz,Adnan Sami,57,1810750,"['classic bollywood', 'classic pakistani pop', 'desi pop', 'filmi', 'modern bollywood']",https://i.scdn.co/image/ab67616d0000b2738d5b19305095a36a74407b7c
0kdQsZTmzqhR2JYK3Bhg3Z,Nitin Raikar,8,86,[],[]
